Year,Station,Metric,ARIMA,ARFIMA,ETS,GSVR,MLPrelu,LSTM,RPSOELM,RF,EELM,Nbeats,RVFL,edRVFL,edRVFLFSLRPool,MARIMAedRVFL,AARIMAedRVFL,Ensemble
2019,46083,RMSE,1.1667 ,1.0737 ,1.2019 ,1.0659 ,1.1194 ,1.1752 ,1.1178 ,1.1293 ,1.0936 ,1.1612 ,1.1154 ,1.1051 ,1.0998 ,1.2585 ,1.0998 ,1.1210 
,,MASE,8.2242 ,7.1958 ,8.4297 ,7.3348 ,7.8118 ,8.0015 ,7.6732 ,7.9669 ,7.5941 ,8.1965 ,7.7160 ,7.6444 ,7.5977 ,8.7104 ,7.3667 ,7.6904 
,,MAPE,0.3247 ,0.2801 ,0.3289 ,0.2950 ,0.2993 ,0.2902 ,0.2935 ,0.3042 ,0.2960 ,0.3244 ,0.2972 ,0.2936 ,0.2921 ,0.3188 ,0.2751 ,0.2885 
,46080,RMSE,1.7568 ,1.5073 ,1.7887 ,3.1860 ,1.6229 ,1.6808 ,1.6124 ,1.4872 ,8.9279 ,1.7531 ,1.6662 ,1.6934 ,1.9526 ,1.9137 ,1.5402 ,1.6698 
,,MASE,10.8737 ,9.0103 ,11.0194 ,13.3261 ,9.5871 ,9.7731 ,9.2848 ,8.7031 ,22.4445 ,10.8981 ,9.5638 ,9.6066 ,10.4709 ,11.0073 ,9.0274 ,9.8814 
,,MAPE,0.4362 ,0.3617 ,0.4397 ,0.4765 ,0.3325 ,0.3383 ,0.3364 ,0.3030 ,0.7695 ,0.4382 ,0.3496 ,0.3481 ,0.3765 ,0.4033 ,0.3346 ,0.3587 
,46076,RMSE,1.4657 ,1.2806 ,1.4946 ,1.3868 ,1.3540 ,1.3921 ,1.2887 ,1.2536 ,1.3055 ,1.4659 ,1.2973 ,1.2906 ,1.2950 ,1.3857 ,1.2904 ,1.3012 
,,MASE,9.9204 ,8.7134 ,9.9988 ,8.9145 ,8.7392 ,9.1838 ,8.5324 ,8.0539 ,8.3903 ,9.9307 ,8.4227 ,8.3906 ,8.3928 ,9.0918 ,8.3674 ,8.4589 
,,MAPE,0.4071 ,0.3734 ,0.4043 ,0.3172 ,0.3200 ,0.3512 ,0.3356 ,0.3097 ,0.3174 ,0.4070 ,0.3236 ,0.3229 ,0.3216 ,0.3443 ,0.3252 ,0.3239 
,46001,RMSE,1.7247 ,1.4791 ,1.7317 ,1.3949 ,1.6088 ,1.5284 ,1.6089 ,1.5716 ,1.6181 ,1.7118 ,1.5830 ,1.5811 ,1.5566 ,1.6776 ,1.5390 ,1.5227 
,,MASE,7.9285 ,6.5471 ,8.0171 ,6.3421 ,7.1673 ,6.7372 ,7.1659 ,7.0818 ,7.2022 ,7.8733 ,7.0473 ,6.9974 ,6.8921 ,7.4910 ,6.7218 ,6.6710 
,,MAPE,0.3790 ,0.3010 ,0.3949 ,0.3222 ,0.3163 ,0.3047 ,0.3139 ,0.3040 ,0.3197 ,0.3776 ,0.3073 ,0.3060 ,0.3005 ,0.3372 ,0.2886 ,0.2912 
2018,46083,RMSE,1.5196 ,1.3073 ,1.5253 ,1.2828 ,1.2850 ,1.2894 ,1.2488 ,1.2558 ,1.2646 ,1.5014 ,1.2353 ,1.2711 ,1.2400 ,1.4235 ,1.2338 ,1.2322 
,,MASE,10.0935 ,8.5153 ,10.1761 ,7.8254 ,7.9990 ,8.3335 ,7.9136 ,8.0337 ,8.0132 ,10.0182 ,7.8132 ,8.0620 ,7.8323 ,8.6343 ,7.7591 ,7.6407 
,,MAPE,0.3776 ,0.3135 ,0.3842 ,0.2649 ,0.2760 ,0.2979 ,0.2823 ,0.2831 ,0.2869 ,0.3762 ,0.2801 ,0.2875 ,0.2789 ,0.2947 ,0.2757 ,0.2676 
,46080,RMSE,1.4581 ,1.2343 ,1.4846 ,1.1470 ,1.2196 ,1.3932 ,1.2270 ,1.2366 ,1.2639 ,1.4543 ,1.1450 ,1.1332 ,1.1780 ,1.3339 ,1.2566 ,1.1806 
,,MASE,8.6819 ,7.1564 ,8.8648 ,6.9594 ,7.0385 ,7.8219 ,6.9963 ,7.1189 ,7.1061 ,8.6578 ,6.3864 ,6.3379 ,6.6247 ,7.5694 ,7.0112 ,6.6673 
,,MAPE,0.3925 ,0.3313 ,0.4020 ,0.3447 ,0.2997 ,0.3167 ,0.2854 ,0.2844 ,0.2811 ,0.3918 ,0.2686 ,0.2691 ,0.2679 ,0.3144 ,0.2963 ,0.2746 
,46076,RMSE,1.7749 ,1.5523 ,1.8107 ,1.4708 ,1.5504 ,1.5761 ,1.4404 ,1.4634 ,1.4428 ,1.7672 ,1.4390 ,1.4364 ,1.4602 ,1.8331 ,1.5150 ,1.5110 
,,MASE,11.3946 ,9.2909 ,11.4348 ,8.7253 ,9.2801 ,9.2941 ,8.7053 ,8.7554 ,8.7242 ,11.4256 ,8.6893 ,8.6577 ,8.7345 ,10.7615 ,8.9362 ,8.9808 
,,MAPE,0.4585 ,0.3484 ,0.4555 ,0.3188 ,0.3322 ,0.3344 ,0.3312 ,0.3212 ,0.3284 ,0.4614 ,0.3290 ,0.3288 ,0.3260 ,0.3908 ,0.3258 ,0.3256 
,46001,RMSE,1.6196 ,1.3687 ,1.6783 ,1.4642 ,1.4891 ,1.4032 ,1.4119 ,1.4046 ,1.3966 ,1.5884 ,1.4322 ,1.4295 ,1.4043 ,1.6006 ,1.4109 ,1.4240 
,,MASE,8.1114 ,6.7167 ,8.3736 ,7.0571 ,7.3880 ,6.7297 ,7.0928 ,6.7813 ,6.9102 ,8.0058 ,7.1234 ,7.0992 ,6.8929 ,7.7105 ,6.9335 ,6.9847 
,,MAPE,0.3776 ,0.3031 ,0.3869 ,0.2919 ,0.3059 ,0.2913 ,0.3076 ,0.2888 ,0.2989 ,0.3741 ,0.3016 ,0.3007 ,0.2931 ,0.3285 ,0.2978 ,0.2968 
2017,46083,RMSE,1.2491 ,1.1284 ,1.2660 ,1.1872 ,1.1347 ,1.1723 ,1.0733 ,1.0815 ,1.0692 ,1.2488 ,1.0754 ,1.0763 ,1.0781 ,1.1065 ,1.0591 ,1.0666 
,,MASE,7.9477 ,6.9227 ,8.0015 ,7.2526 ,7.2424 ,7.3038 ,6.9128 ,6.7807 ,6.8350 ,7.9623 ,6.8677 ,6.8792 ,6.8023 ,7.1402 ,6.7634 ,6.8090 
,,MAPE,0.4142 ,0.3571 ,0.4117 ,0.3753 ,0.4119 ,0.3771 ,0.3964 ,0.3862 ,0.3973 ,0.4163 ,0.3935 ,0.3936 ,0.3816 ,0.4149 ,0.3854 ,0.3902 
,46080,RMSE,1.2069 ,1.0300 ,1.2201 ,1.0866 ,1.0629 ,0.9938 ,1.0927 ,1.0389 ,1.1829 ,1.2058 ,1.0906 ,1.0738 ,1.0638 ,1.0935 ,1.0058 ,1.0275 
,,MASE,6.7235 ,5.5123 ,6.8827 ,5.8443 ,5.4093 ,5.6247 ,6.3133 ,5.8000 ,6.4760 ,6.7230 ,6.1273 ,6.0498 ,5.9409 ,6.1329 ,5.4295 ,5.6930 
,,MAPE,0.4101 ,0.3489 ,0.4277 ,0.3578 ,0.3123 ,0.3944 ,0.4324 ,0.3796 ,0.4213 ,0.4107 ,0.4033 ,0.3999 ,0.3916 ,0.4053 ,0.3485 ,0.3747 
,46076,RMSE,1.4262 ,1.2571 ,1.4375 ,1.2566 ,1.3037 ,1.4672 ,1.2533 ,1.2571 ,1.2261 ,1.4270 ,1.2367 ,1.2367 ,1.2345 ,1.3238 ,1.2272 ,1.2308 
,,MASE,9.2001 ,7.7808 ,9.2289 ,7.9147 ,7.8965 ,8.9097 ,7.7348 ,8.1740 ,7.6036 ,9.2079 ,7.5870 ,7.5870 ,7.5957 ,8.3491 ,7.6190 ,7.6252 
,,MAPE,0.4196 ,0.3723 ,0.4181 ,0.4004 ,0.3429 ,0.3786 ,0.3594 ,0.4056 ,0.3543 ,0.4202 ,0.3482 ,0.3482 ,0.3491 ,0.3805 ,0.3588 ,0.3531 
,46001,RMSE,1.8322 ,1.5436 ,1.8478 ,1.4598 ,1.5858 ,1.5718 ,1.5605 ,1.4997 ,4.1603 ,1.8335 ,1.5181 ,1.5158 ,1.4981 ,2.5015 ,1.5265 ,1.7025 
,,MASE,9.5055 ,7.6395 ,9.5427 ,7.7242 ,7.9837 ,7.6768 ,8.1567 ,7.5236 ,17.0538 ,9.5538 ,8.0601 ,8.0420 ,7.7497 ,12.4290 ,8.0945 ,9.0938 
,,MAPE,0.4368 ,0.3598 ,0.4359 ,0.4030 ,0.3587 ,0.3520 ,0.4054 ,0.3559 ,0.7762 ,0.4408 ,0.4033 ,0.4023 ,0.3791 ,0.5912 ,0.4071 ,0.4479 
